user,datetime,seq,order,pname
1,2011-06-20 09:20:33,1,1,epsilon
1,2011-06-20 09:20:33,1,2,beta
1,2011-06-21 13:23:11,2,1,charlie
1,2011-06-21 13:23:11,2,2,delta
1,2011-06-21 13:23:11,2,3,alpha

2,2011-06-21 13:23:11,1,1,alpha
2,2011-06-21 13:23:11,1,2,charlie
2,2011-06-21 19:03:53,2,1,beta
2,2011-06-21 19:03:53,2,2,epsilon

3,2011-06-20 09:20:33,1,1,alpha
3,2011-06-20 16:12:47,2,1,delta
3,2011-06-20 16:12:47,2,2,alpha
3,2011-06-21 13:23:11,3,1,epsilon
3,2011-06-21 13:23:11,3,2,charlie
3,2011-06-21 13:23:11,4,1,epsilon
3,2011-06-21 13:23:11,4,2,alpha

4,2011-06-20 22:41:07,1,1,epsilon
4,2011-06-20 22:41:07,1,2,delta

5,2011-06-20 16:12:47,1,1,delta
5,2011-06-20 16:12:47,1,2,alpha
5,2011-06-20 16:12:47,1,3,delta
5,2011-06-21 13:23:11,2,1,epsilon

6,2011-06-20 22:41:07,1,1,epsilon

7,2011-06-20 16:12:47,1,1,beta
7,2011-06-20 22:41:07,2,1,charlie
7,2011-06-21 13:23:11,3,1,charlie
7,2011-06-21 13:23:11,3,2,alpha
7,2011-06-21 13:23:11,3,3,beta
7,2011-06-21 13:23:11,3,4,delta

8,2011-06-20 16:12:47,1,1,delta
8,2011-06-21 19:03:53,2,1,charlie
8,2011-06-21 19:03:53,2,2,epsilon
